Symbol,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ratio
LEN,115.0,1.1,1.4,1.55,-0.31,-21.99%,11,54,25.12%,0.9565217391304348
LEN,116.0,1.65,2.0,2.2,-0.55,-25.00%,17,47,25.10%,1.4224137931034482
LEN,117.0,2.75,2.65,3.1,0.0,-,3,3,29.00%,2.3504273504273505
LEN,119.0,6.37,4.4,4.8,0.0,-,-,1,29.10%,5.352941176470588
LRCX,517.5,7.4,7.3,7.9,3.6,+94.74%,40,55,32.45%,1.4299516908212562
LRCX,520.0,8.6,8.55,9.4,3.9,+82.98%,67,81,32.76%,1.6538461538461535
LRCX,522.5,10.4,10.0,11.1,4.9,+89.09%,20,181,33.41%,1.9904306220095696
LRCX,525.0,11.15,11.45,12.65,4.15,+59.29%,5,88,32.68%,2.123809523809524
LRCX,527.5,12.9,12.95,14.5,4.65,+56.36%,9,63,32.86%,2.445497630331754
MCD,297.5,1.75,1.71,1.89,-0.16,-8.38%,354,641,11.54%,0.5882352941176471
MCD,300.0,3.3,3.3,3.6,-0.28,-7.82%,210,520,10.45%,1.1
MCD,302.5,6.6,5.6,6.05,0.0,-,31,56,14.43%,2.1818181818181817
MCD,305.0,8.39,8.0,8.55,-1.86,-18.15%,2,57,18.75%,2.750819672131148
MCD,307.5,12.65,10.2,11.3,0.0,-,2,0,27.78%,4.113821138211382
NOC,442.5,3.3,3.5,4.0,-0.4,-10.81%,12,12,21.13%,0.7457627118644067
NOC,445.0,5.0,4.7,5.3,0.1,+2.04%,7,107,20.53%,1.1235955056179776
NOC,447.5,5.72,6.3,6.9,1.72,+43.00%,25,28,20.17%,1.2782122905027933
NOC,450.0,8.3,5.9,9.3,0.25,+3.11%,1,7,23.80%,1.8444444444444448
NOC,452.5,8.17,9.1,13.3,0.0,-,4,30,37.83%,1.805524861878453
PEP,195.0,1.35,1.21,1.37,-0.35,-20.59%,135,224,10.74%,0.6923076923076923
PEP,197.5,2.87,2.81,3.6,-1.43,-33.26%,14,11,15.58%,1.4531645569620253
PEP,202.5,10.71,7.7,8.8,0.0,-,29,1,34.77%,5.28888888888889
PEP,205.0,14.85,9.95,11.15,0.0,-,30,0,37.31%,7.24390243902439
PEP,212.5,23.57,17.2,19.6,0.0,-,1,0,80.52%,11.091764705882351
PM,96.0,0.8,0.75,0.9,-0.21,-20.79%,1,69,17.77%,0.8333333333333334
PM,97.0,1.53,1.35,1.6,-0.07,-4.38%,5,33,18.31%,1.577319587628866
PM,98.0,2.3,2.2,2.55,-1.01,-30.51%,3,101,23.34%,2.346938775510204
PM,99.0,5.2,3.2,3.5,0.0,-,5,68,27.05%,5.252525252525253
PM,100.0,4.44,4.2,4.7,0.0,-,14,21,41.99%,4.44
PSX,94.0,0.9,1.15,1.3,-0.4,-30.77%,5,100,32.86%,0.9574468085106382
PSX,95.0,1.83,1.7,1.85,0.0,-,7,89,32.32%,1.9263157894736844
PSX,96.0,2.5,2.35,2.55,0.31,+14.16%,3,156,32.72%,2.604166666666667
PSX,97.0,2.85,3.0,3.5,0.0,-,6,44,38.67%,2.938144329896907
PSX,98.0,3.5,3.9,4.4,0.0,-,1,46,41.80%,3.571428571428571
REGN,755.0,6.7,5.7,6.7,-0.03,-0.45%,21,41,21.06%,0.8874172185430464
REGN,760.0,10.45,8.2,9.6,-6.05,-36.67%,1,64,21.28%,1.3749999999999998
REGN,765.0,10.0,9.7,15.0,0.0,-,6,15,28.53%,1.30718954248366
REGN,767.5,14.3,11.7,17.3,-7.5,-34.40%,2,4,30.56%,1.863192182410424
REGN,770.0,18.13,12.7,19.2,-3.16,-14.84%,1,6,30.93%,2.3545454545454545
STZ,227.5,2.8,2.75,3.0,1.26,+81.82%,1,60,19.02%,1.2307692307692308
STZ,230.0,3.6,4.6,5.1,0.6,+20.00%,3,24,22.00%,1.565217391304348
STZ,232.5,4.1,6.5,7.5,0.0,-,-,1,27.10%,1.7634408602150535
STZ,235.0,12.13,8.3,9.9,0.0,-,6,6,31.06%,5.161702127659575
STZ,240.0,13.22,12.2,15.9,0.0,-,-,0,62.18%,5.508333333333334
USB,30.0,0.7,0.6,0.75,-0.25,-26.32%,274,9488,50.29%,2.333333333333333
USB,30.5,0.9,0.95,1.05,-0.3,-25.00%,36,1465,52.54%,2.950819672131148
USB,31.0,1.25,1.15,1.45,-0.2,-13.79%,20,723,61.91%,4.032258064516129
USB,31.5,2.2,1.4,2.2,0.7,+46.67%,76,1283,58.59%,6.984126984126984
USB,32.0,2.55,1.9,2.65,1.03,+67.76%,37,948,66.02%,7.968749999999999
WHR,136.0,1.8,1.45,1.7,0.35,+24.14%,1,47,29.40%,1.3235294117647058
WHR,137.0,2.3,1.95,2.2,0.2,+9.52%,2,23,28.32%,1.678832116788321
WHR,138.0,2.7,2.55,2.85,-0.26,-8.78%,1,11,28.22%,1.956521739130435
WHR,139.0,3.45,3.3,3.6,0.0,-,3,6,28.47%,2.4820143884892087
WHR,140.0,4.12,4.1,4.8,2.94,+249.15%,1,37,38.18%,2.942857142857143
AAP,126.0,1.4,1.55,1.75,-0.25,-15.15%,7,31,28.52%,1.111111111111111
AAP,127.0,1.85,2.1,2.3,-0.7,-27.45%,3,7,27.34%,1.4566929133858268
AAP,128.0,2.35,1.8,3.1,-0.65,-21.67%,3,2,29.40%,1.8359375
ADP,215.0,2.35,2.3,2.65,0.4,+20.51%,4,111,21.29%,1.0930232558139537
ADP,217.5,3.06,2.65,4.6,0.0,-,6,32,23.98%,1.406896551724138
ADP,220.0,5.28,5.9,8.3,0.0,-,12,21,48.90%,2.4
ADP,225.0,8.9,9.5,12.4,0.0,-,2,2,51.44%,3.955555555555556
ALB,197.5,4.2,4.3,4.6,-8.3,-66.40%,39,4,40.31%,2.126582278481013
ALB,200.0,5.4,6.0,6.3,-9.6,-64.00%,51,132,40.53%,2.7
ALB,202.5,10.65,7.7,8.6,-5.35,-33.44%,10,11,46.78%,5.25925925925926
ALB,205.0,9.34,9.8,10.7,-15.86,-62.94%,11,18,47.95%,4.556097560975609
ALB,210.0,25.41,14.4,15.7,0.0,-,10,17,62.40%,12.1
AZO,2730.0,19.11,17.5,20.9,-56.09,-74.59%,8,5,16.77%,0.7000000000000001
CBOE,137.0,1.44,0.1,3.2,-0.3,-17.24%,1,22,47.41%,1.0510948905109487
CBOE,138.0,2.4,0.8,3.5,0.0,-,1,3,42.04%,1.7391304347826086
CBOE,139.0,2.0,1.45,4.3,0.0,-,6,6,44.68%,1.4388489208633095
CBOE,140.0,3.92,1.85,4.9,0.0,-,-,2,42.33%,2.8000000000000003
CME,185.0,0.95,1.4,1.75,-0.2,-17.39%,3,45,20.19%,0.5135135135135135
CME,187.5,2.6,2.8,3.5,0.0,-,3,13,21.78%,1.3866666666666667
CME,190.0,4.08,5.1,5.9,-1.62,-28.42%,2,5,29.10%,2.147368421052632
CME,200.0,10.5,14.1,16.4,0.0,-,2,0,71.05%,5.25
CPB,55.0,0.45,0.5,0.6,-0.15,-25.00%,85,1695,16.02%,0.8181818181818182
CPB,56.0,1.3,1.35,1.5,0.0,-,2,18,22.95%,2.321428571428572
CPB,57.0,2.44,0.2,5.0,0.0,-,-,0,157.91%,4.280701754385965
CTRA,25.0,0.35,0.35,0.4,0.0,-,271,549,30.08%,1.4
CTRA,25.5,0.69,0.65,0.8,0.05,+7.81%,250,466,36.33%,2.705882352941176
CTRA,26.0,1.0,1.0,1.4,0.0,-,7,74,62.70%,3.8461538461538463
CTRA,26.5,1.3,1.5,1.85,0.0,-,72,144,69.34%,4.905660377358491
CTRA,27.0,1.85,1.95,2.35,0.0,-,19,40,81.25%,6.851851851851852
DFS,97.0,1.55,1.35,1.5,-0.1,-6.06%,1,59,33.11%,1.5979381443298968
DFS,98.0,2.05,1.85,2.1,0.0,-,1,7,33.11%,2.091836734693877
DFS,99.0,4.39,2.3,3.0,0.0,-,1,2,38.77%,4.434343434343433
DFS,100.0,5.0,3.0,3.9,0.0,-,5,58,43.26%,5.0
DFS,101.0,2.45,4.0,4.7,0.0,-,17,25,42.87%,2.4257425742574257
DOW,54.0,0.61,0.66,0.7,0.03,+5.17%,44,271,23.05%,1.1296296296296295
DOW,55.0,1.44,1.36,1.48,0.44,+44.00%,1,137,26.07%,2.618181818181818
DOW,56.0,1.92,2.27,2.56,-0.26,-11.93%,2,108,43.16%,3.428571428571429
DOW,57.0,2.28,3.1,3.55,0.0,-,1,0,53.32%,4.0
DOW,58.0,3.9,4.1,4.55,0.0,-,1,4,63.28%,6.724137931034482
EBAY,46.0,0.53,0.56,0.6,0.09,+20.45%,7,43,26.07%,1.1521739130434785
EBAY,46.5,0.7,0.86,0.92,-0.07,-9.09%,1,17,25.98%,1.5053763440860215
EBAY,47.0,1.28,1.15,1.32,-0.5,-28.09%,6,11,26.95%,2.723404255319149
EBAY,47.5,1.72,1.61,1.8,0.17,+10.97%,1,10,31.84%,3.621052631578947
EBAY,48.0,3.4,2.16,2.3,0.0,-,4,4,37.89%,7.083333333333333
EOG,114.0,1.05,1.5,1.7,0.2,+23.53%,1,54,33.25%,0.9210526315789476
EOG,115.0,1.3,2.05,2.25,0.0,-,22,44,32.62%,1.1304347826086958
EOG,116.0,2.5,2.7,2.95,0.0,-,17,22,33.20%,2.155172413793104
EOG,117.0,3.89,3.4,3.7,1.74,+80.93%,1,4,33.01%,3.3247863247863245
EOG,118.0,2.58,4.3,4.6,0.0,-,1,14,35.45%,2.186440677966102
GILD,79.0,0.78,0.72,0.79,-0.18,-18.75%,5,159,20.80%,0.9873417721518988
GILD,80.0,1.37,1.35,1.45,-0.38,-21.71%,7,214,20.80%,1.7125
GILD,81.0,2.1,2.17,2.63,0.0,-,2,112,36.82%,2.592592592592593
GILD,82.0,3.21,3.15,4.0,-0.34,-9.58%,4,61,59.77%,3.9146341463414633
GILD,82.5,3.95,2.28,3.9,1.4,+54.90%,1,1,38.09%,4.787878787878788
HUM,532.5,5.4,5.6,6.1,1.85,+52.11%,7,54,21.92%,1.0140845070422535
HUM,535.0,8.0,7.0,7.7,3.49,+77.38%,5,46,22.18%,1.4953271028037385
HUM,537.5,6.2,8.5,9.5,0.55,+9.73%,18,15,22.56%,1.1534883720930234
HUM,545.0,12.6,10.0,18.8,-0.8,-5.97%,1,13,42.98%,2.311926605504587
INTU,430.0,7.5,6.7,7.2,-1.1,-12.79%,17,42,33.33%,1.744186046511628
INTU,432.5,8.3,8.0,8.6,-2.0,-19.42%,7,11,32.73%,1.919075144508671
INTU,435.0,10.6,9.0,10.4,-5.38,-33.67%,6,35,33.58%,2.436781609195402
INTU,437.5,12.93,11.3,12.3,0.0,-,3,47,34.27%,2.9554285714285715
INTU,440.0,15.8,12.8,14.5,0.0,-,1,41,36.37%,3.5909090909090917
KEY,10.0,0.4,0.35,0.45,-0.12,-23.08%,86,1461,57.03%,4.0
KEY,10.5,1.02,0.75,0.8,0.25,+32.47%,3,361,52.34%,9.714285714285714
KEY,11.0,1.31,1.2,1.35,0.01,+0.77%,3,282,103.13%,11.90909090909091
KEY,11.5,1.73,1.7,1.9,0.0,-,15,82,95.31%,15.043478260869565
KEY,12.0,2.1,2.2,2.4,0.0,-,1,128,114.06%,17.5
MAR,180.0,2.05,2.05,2.35,-1.75,-46.05%,62,839,24.02%,1.1388888888888888
MAR,182.5,4.3,3.4,4.2,0.3,+7.50%,1,5,26.05%,2.356164383561644
MAR,185.0,8.5,5.6,6.4,0.0,-,351,350,29.05%,4.594594594594595
MAR,190.0,13.6,10.4,12.0,0.0,-,-,1,58.57%,7.157894736842104
MGM,43.5,0.61,0.61,0.66,-0.17,-21.79%,32,139,33.30%,1.4022988505747127
MGM,44.0,0.9,0.89,0.95,-0.12,-11.76%,3,182,32.62%,2.0454545454545454
MGM,44.5,1.23,1.17,1.31,-0.24,-16.33%,34,167,32.62%,2.764044943820225
MGM,45.0,2.2,1.59,1.8,0.46,+26.44%,2,95,39.45%,4.888888888888889
MGM,45.5,1.95,2.08,2.27,0.0,-,24,304,43.95%,4.285714285714286
MOS,37.5,0.7,0.78,0.84,0.12,+20.69%,41,89,42.48%,1.8666666666666665
MOS,38.0,1.18,1.1,1.15,0.38,+47.50%,187,475,41.60%,3.1052631578947367
MOS,38.5,1.55,1.46,1.56,0.44,+39.64%,32,218,44.53%,4.025974025974026
MOS,39.0,2.01,1.8,2.02,0.6,+42.55%,9,371,49.61%,5.153846153846153
MOS,39.5,2.35,2.29,2.52,1.29,+121.70%,3,65,57.62%,5.949367088607596
ON,79.0,1.41,1.31,1.42,0.6,+74.07%,104,139,40.14%,1.7848101265822782
ON,80.0,2.61,1.84,1.98,1.5,+135.14%,182,161,39.16%,3.2625
ON,81.0,2.62,2.44,2.75,0.96,+57.83%,13,71,41.60%,3.234567901234568
ON,82.0,2.14,3.3,3.7,0.0,-,15,67,48.63%,2.609756097560976
ON,83.0,4.25,4.15,4.45,1.3,+44.07%,19,29,44.92%,5.120481927710843
TMUS,143.0,1.5,1.44,1.56,0.95,+172.73%,54,220,16.82%,1.048951048951049
TMUS,144.0,1.68,2.13,2.32,0.57,+51.35%,1,272,17.68%,1.1666666666666663
TMUS,145.0,3.05,2.83,3.15,1.06,+53.27%,7,273,17.82%,2.1034482758620685
TMUS,146.0,4.0,3.8,4.15,-2.15,-34.96%,1,1,21.78%,2.73972602739726
TMUS,147.0,2.98,4.85,5.1,0.0,-,10,9,23.44%,2.027210884353741
TTWO,125.0,1.75,1.64,1.81,0.27,+18.24%,207,293,30.74%,1.4
TTWO,126.0,2.01,2.23,2.38,-0.11,-5.19%,6,27,30.23%,1.5952380952380951
TTWO,127.0,2.77,2.71,3.1,0.09,+3.36%,2,33,30.96%,2.1811023622047245
TTWO,128.0,3.42,3.4,3.9,-0.77,-18.38%,2,9,31.89%,2.671875
TTWO,130.0,11.0,5.55,5.85,0.0,-,2,2,40.53%,8.461538461538462
UPS,175.0,3.7,3.65,3.9,0.3,+8.82%,103,418,38.43%,2.1142857142857143
UPS,177.5,6.33,5.8,6.3,1.63,+34.68%,3,473,49.49%,3.5661971830985912
UPS,180.0,8.72,8.15,8.95,0.98,+12.66%,7,258,56.35%,4.844444444444445
UPS,182.5,11.39,10.6,11.4,3.14,+38.06%,5,284,65.33%,6.24109589041096
UPS,185.0,13.03,13.05,13.9,0.88,+7.24%,2,164,74.05%,7.043243243243243
VRTX,345.0,3.53,2.8,3.2,-0.17,-4.59%,1,46,21.62%,1.0231884057971017
VRTX,347.5,5.1,4.0,4.8,0.0,-,10,14,22.79%,1.4676258992805753
VRTX,350.0,7.1,4.1,7.2,1.1,+18.33%,4,57,28.32%,2.0285714285714285
VRTX,352.5,9.0,5.2,11.2,0.0,-,11,14,45.85%,2.553191489361702
VRTX,360.0,14.0,13.6,17.6,0.0,-,10,10,52.81%,3.888888888888889
AFL,67.5,0.56,0.5,0.65,-0.04,-6.67%,5,7,21.63%,0.8296296296296296
AFL,68.0,0.7,0.75,0.95,-0.4,-36.36%,4,10,21.83%,1.0294117647058822
AFL,69.0,3.0,1.4,1.85,0.0,-,2,2,29.20%,4.3478260869565215
AFL,70.0,2.69,2.2,2.8,0.0,-,1,7,36.13%,3.842857142857143
AFL,71.0,2.59,2.45,3.7,0.0,-,10,5,37.60%,3.647887323943662
AMAT,114.0,1.47,1.47,1.61,0.54,+58.06%,83,393,32.13%,1.2894736842105263
AMAT,115.0,1.95,1.96,2.13,0.65,+50.00%,74,1070,30.96%,1.6956521739130437
AMAT,116.0,3.02,2.59,2.83,1.27,+72.57%,45,264,31.49%,2.603448275862069
AMAT,117.0,3.1,3.25,3.6,0.78,+33.62%,7,132,31.69%,2.649572649572649
AMAT,118.0,4.66,4.1,4.5,1.9,+68.84%,7,76,34.08%,3.9491525423728815
AVGO,620.0,6.3,6.4,7.0,3.0,+90.91%,156,202,24.08%,1.0161290322580645
AVGO,622.5,7.5,7.5,8.0,3.3,+78.57%,43,95,22.33%,1.2048192771084338
AVGO,625.0,9.0,8.9,10.1,4.3,+91.49%,69,97,24.39%,1.44
AVGO,627.5,10.72,10.4,11.7,4.82,+81.69%,45,77,23.82%,1.708366533864542
AVGO,630.0,13.95,12.2,13.2,5.35,+62.21%,16,70,21.89%,2.214285714285714
BBWI,33.0,0.99,0.95,1.1,0.18,+22.22%,19,1014,47.75%,3.0
BBWI,34.0,1.93,1.75,2.0,0.53,+37.86%,2,19,60.94%,5.6764705882352935
BBWI,35.0,2.76,2.7,2.95,0.28,+11.29%,7,62,54.69%,7.885714285714284
BBWI,36.0,3.52,3.6,4.0,0.0,-,16,1,61.72%,9.77777777777778
BBWI,37.0,3.4,4.6,5.0,0.0,-,6,0,74.22%,9.189189189189188
CAG,38.0,0.3,0.25,0.4,-0.1,-25.00%,3,233,18.65%,0.7894736842105263
CAG,39.0,1.28,0.75,2.95,0.0,-,2,0,72.27%,3.282051282051282
CSCO,46.5,0.36,0.33,0.36,-0.06,-14.29%,124,1804,17.77%,0.7741935483870968
CSCO,47.0,0.65,0.6,0.66,-0.22,-25.29%,63,2757,16.90%,1.3829787234042554
CSCO,47.5,1.21,0.97,1.09,-0.13,-9.70%,30,743,18.56%,2.5473684210526315
CSCO,48.0,1.62,1.45,1.57,-0.23,-12.43%,51,1150,22.07%,3.375
CSCO,48.5,2.21,1.92,2.11,0.0,-,3,4,32.42%,4.556701030927835
CZR,45.5,1.13,0.91,1.02,-0.11,-8.87%,8,91,51.56%,2.483516483516483
CZR,46.0,1.09,1.18,1.32,-0.58,-34.73%,105,16,52.54%,2.3695652173913047
CZR,46.5,1.44,1.5,1.65,-0.55,-27.64%,29,36,53.13%,3.096774193548387
CZR,47.0,1.6,1.81,2.01,-0.96,-37.50%,1,12,53.52%,3.404255319148936
CZR,47.5,2.0,2.25,2.43,-0.48,-19.35%,3,2,56.06%,4.2105263157894735
DIS,103.0,3.5,3.4,3.55,0.45,+14.75%,328,1125,71.14%,3.3980582524271843
DIS,104.0,4.08,4.0,4.1,0.61,+17.58%,44,406,70.95%,3.923076923076923
DIS,105.0,4.7,4.65,4.75,0.58,+14.08%,63,586,71.39%,4.476190476190476
DIS,106.0,5.0,5.3,5.45,0.24,+5.04%,59,186,71.29%,4.716981132075472
DIS,107.0,5.58,6.0,6.2,0.28,+5.28%,11,136,71.34%,5.214953271028038
GNRC,112.0,2.3,2.15,2.3,-1.1,-32.35%,9,111,46.73%,2.0535714285714284
GNRC,113.0,3.96,2.7,2.9,-0.16,-3.88%,1,357,47.56%,3.5044247787610616
GNRC,114.0,3.6,3.3,3.5,-1.6,-30.77%,8,72,46.83%,3.1578947368421053
GNRC,115.0,4.15,3.9,4.2,-1.25,-23.15%,17,84,46.92%,3.6086956521739135
GNRC,116.0,6.68,4.5,5.0,0.0,-,1,15,48.15%,5.758620689655173
HPQ,30.5,0.43,0.41,0.43,-0.05,-10.42%,33,522,24.81%,1.4098360655737705
HPQ,31.0,1.01,0.71,0.81,0.0,-,367,538,26.95%,3.258064516129032
HPQ,32.0,1.79,1.57,1.85,0.0,-,2,2,52.15%,5.59375
JNJ,162.5,1.76,1.69,1.89,0.61,+53.04%,106,1198,14.84%,1.083076923076923
JNJ,165.0,3.97,3.8,4.15,1.0,+33.67%,14,402,19.73%,2.4060606060606062
JNJ,167.5,5.22,6.1,6.75,0.0,-,5,10,31.20%,3.116417910447761
JNJ,170.0,5.35,8.65,9.25,0.0,-,8,13,39.26%,3.147058823529412
JNJ,175.0,11.35,13.6,14.2,0.0,-,4,4,51.90%,6.485714285714285
KMB,144.0,0.65,0.75,0.95,0.05,+8.33%,10,53,15.14%,0.4513888888888889
KMB,145.0,1.05,1.25,1.65,0.24,+29.63%,46,124,16.92%,0.7241379310344828
KMB,146.0,1.4,2.05,2.35,0.0,-,18,29,16.16%,0.9589041095890408
KMB,147.0,2.27,2.95,3.3,0.0,-,2,21,19.24%,1.54421768707483
KMB,148.0,2.3,3.9,4.3,0.0,-,-,1,23.24%,1.554054054054054
MRO,23.0,0.39,0.4,0.43,-0.08,-17.02%,36,515,39.45%,1.6956521739130437
MRO,23.5,0.57,0.7,0.75,-0.08,-12.31%,41,99,38.87%,2.425531914893617
MRO,24.0,1.04,1.1,1.16,0.14,+15.56%,9,396,39.06%,4.333333333333334
MRO,24.5,1.59,1.57,1.65,0.24,+17.78%,12,9,48.05%,6.489795918367348
MRO,25.0,1.87,2.02,2.18,-0.21,-10.10%,18,106,66.02%,7.48
NSC,210.0,2.6,2.35,4.3,-0.8,-23.53%,2,11,38.72%,1.238095238095238
NSC,215.0,6.3,4.7,8.4,0.0,-,5,5,47.90%,2.9302325581395348
NSC,220.0,11.0,9.0,13.8,0.0,-,1,1,70.41%,5.0
NSC,225.0,16.7,14.0,18.9,0.0,-,1,0,87.33%,7.422222222222222
NSC,235.0,27.1,24.0,28.9,0.0,-,2,0,114.84%,11.531914893617024
PARA,17.0,0.63,0.6,0.64,0.23,+57.50%,445,1002,50.98%,3.705882352941176
PARA,17.5,1.05,0.99,1.05,0.32,+43.84%,4,562,54.30%,6.000000000000001
PARA,18.0,1.38,1.46,1.51,0.25,+22.12%,32,404,58.59%,7.666666666666666
PARA,18.5,1.87,1.9,2.04,0.27,+16.87%,5,91,82.81%,10.108108108108109
PARA,19.0,2.22,2.41,2.51,0.17,+8.29%,17,241,85.16%,11.68421052631579
PG,155.0,1.42,1.44,1.61,0.7,+97.22%,234,624,12.50%,0.9161290322580644
PG,157.5,3.61,3.7,4.05,1.44,+66.36%,13,272,21.83%,2.292063492063492
PG,160.0,6.1,6.15,6.55,1.75,+40.23%,5,0,30.86%,3.8125
PG,162.5,6.45,8.65,9.05,0.0,-,-,1,39.11%,3.969230769230769
PG,165.0,8.25,11.15,11.55,0.0,-,2,1,46.88%,5.0
PXD,212.5,3.0,2.9,3.2,0.2,+7.14%,300,119,28.49%,1.411764705882353
PXD,215.0,3.1,4.3,4.8,-1.1,-26.19%,3,176,27.86%,1.4418604651162792
PXD,217.5,4.5,5.5,7.1,0.0,-,5,37,33.30%,2.0689655172413794
PXD,220.0,8.33,7.3,9.6,0.0,-,5,29,40.80%,3.786363636363636
PXD,222.5,9.8,10.2,12.0,4.1,+71.93%,20,26,45.85%,4.404494382022472
SBUX,107.0,1.34,1.22,1.33,0.23,+20.72%,226,943,26.42%,1.252336448598131
SBUX,108.0,1.98,1.91,2.04,0.34,+20.73%,20,543,28.86%,1.8333333333333333
SBUX,109.0,2.8,2.77,2.93,0.24,+9.38%,6,272,33.69%,2.568807339449541
SBUX,110.0,3.8,3.7,3.9,0.6,+18.75%,2,417,39.70%,3.4545454545454546
SBUX,111.0,5.05,4.7,4.85,0.88,+21.10%,1,227,44.43%,4.54954954954955
TFC,29.0,1.2,1.05,1.35,0.05,+4.35%,90,1118,82.03%,4.137931034482759
TFC,29.5,1.45,1.45,1.65,0.0,-,167,485,85.64%,4.915254237288135
TFC,30.0,2.37,1.85,2.15,0.47,+24.74%,1,248,95.51%,7.9
TFC,30.5,2.86,2.3,2.65,0.61,+27.11%,5,132,106.45%,9.37704918032787
TFC,31.0,2.0,2.75,3.1,0.0,-,75,407,113.67%,6.451612903225806
WMT,155.0,2.07,2.01,2.26,-0.28,-11.91%,59,105,14.26%,1.335483870967742
WMT,157.5,4.5,4.4,4.7,-1.5,-25.00%,5,0,22.17%,2.857142857142857
WMT,160.0,7.35,6.75,7.25,-0.84,-10.26%,8,0,32.42%,4.59375
WMT,162.5,12.7,9.25,9.75,0.0,-,1,1,40.43%,7.815384615384614
WMT,165.0,15.0,11.75,12.25,0.0,-,1,0,47.95%,9.090909090909092
AAPL,172.5,1.87,1.86,1.88,0.57,+43.85%,31888,17940,20.68%,1.0840579710144929
AAPL,175.0,3.6,3.45,3.7,1.07,+42.29%,4283,6593,21.97%,2.057142857142857
AAPL,177.5,6.0,5.2,5.95,1.7,+39.53%,939,914,24.71%,3.380281690140845
AAPL,180.0,8.4,7.8,8.45,1.8,+27.27%,190,8043,32.13%,4.666666666666667
AAPL,182.5,10.45,10.15,11.0,1.0,+10.58%,62,27,40.92%,5.726027397260274
ADSK,195.0,3.6,3.2,3.6,-0.5,-12.20%,18,103,28.27%,1.8461538461538465
ADSK,197.5,5.0,4.9,5.7,-0.6,-10.71%,3,37,32.67%,2.5316455696202533
ADSK,200.0,7.71,6.9,7.8,-1.3,-14.43%,1,14,33.84%,3.855
ADSK,202.5,8.3,8.9,10.5,0.0,-,1,1,45.53%,4.098765432098766
ADSK,205.0,6.5,12.0,12.7,0.0,-,2,6,45.36%,3.1707317073170733
ALGN,305.0,5.2,5.1,5.6,1.1,+26.83%,4,62,34.50%,1.7049180327868854
ALGN,307.5,6.3,6.7,7.2,0.5,+8.62%,4,19,34.67%,2.048780487804878
ALGN,310.0,8.3,8.4,9.1,1.4,+20.29%,6,101,35.84%,2.67741935483871
