Symbol,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Ratio
AMZN,114.0,7.48,7.2,7.65,-1.74,-18.87%,5,24,49.81%,6.561403508771931
AMZN,115.0,8.55,7.95,8.7,-0.7,-7.57%,13,603,56.93%,7.434782608695653
AMZN,116.0,10.2,9.15,9.65,0.0,-,1,2,58.89%,8.793103448275861
AMZN,117.0,10.6,9.9,10.55,-1.5,-12.40%,2,0,56.93%,9.05982905982906
AMZN,118.0,13.05,11.1,11.7,0.0,-,1,1,70.41%,11.059322033898306
AMZN,119.0,14.15,12.1,12.7,0.0,-,1,0,74.71%,11.890756302521009
AMZN,120.0,13.54,13.1,13.65,-0.41,-2.94%,2,34,75.88%,11.283333333333333
AMZN,125.0,19.15,18.05,18.6,0.0,-,32,20,91.31%,15.319999999999997
AMZN,130.0,26.05,23.15,23.55,0.0,-,34,10,103.71%,20.03846153846154
AMZN,135.0,28.9,28.25,28.6,0.0,-,3,0,98.05%,21.407407407407405
AMZN,140.0,34.5,33.2,33.6,0.0,-,16,0,100.78%,24.642857142857146
AMZN,155.0,51.3,48.05,48.65,0.0,-,5,5,187.11%,33.096774193548384
BAC,16.0,0.01,0.0,0.01,0.0,-,50,52,193.75%,0.0625
BAC,17.0,0.01,0.0,0.01,0.0,-,57,627,175.00%,0.05882352941176471
BAC,18.0,0.01,0.0,0.01,0.0,-,98,372,156.25%,0.05555555555555555
BAC,19.0,0.01,0.0,0.01,0.0,-,1022,1067,137.50%,0.05263157894736842
BAC,20.0,0.01,0.0,0.01,0.0,-,768,761,118.75%,0.05
BAC,21.0,0.01,0.0,0.01,0.0,-,403,999,106.25%,0.047619047619047616
BAC,22.0,0.02,0.0,0.01,0.0,-,209,638,87.50%,0.09090909090909091
BAC,22.5,0.02,0.0,0.01,0.0,-,148,361,81.25%,0.08888888888888889
BAC,23.0,0.01,0.0,0.01,0.0,-,21,1715,71.88%,0.043478260869565216
BAC,23.5,0.01,0.0,0.01,0.0,-,3,4116,65.63%,0.0425531914893617
BAC,24.0,0.01,0.0,0.01,0.0,-,70,4393,57.81%,0.04166666666666667
BAC,24.5,0.01,0.01,0.02,-0.01,-50.00%,129,1093,59.38%,0.04081632653061225
BAC,25.0,0.02,0.01,0.02,0.0,-,134,4094,50.00%,0.08
BAC,25.5,0.02,0.02,0.03,-0.01,-33.33%,191,1551,48.05%,0.0784313725490196
BAC,26.0,0.03,0.03,0.04,-0.02,-40.00%,1353,3745,41.41%,0.11538461538461538
BAC,26.5,0.06,0.05,0.06,-0.03,-33.33%,1485,7164,35.16%,0.22641509433962265
BAC,27.0,0.12,0.11,0.13,-0.04,-25.00%,4204,12995,32.42%,0.4444444444444444
BAC,27.5,0.26,0.25,0.27,-0.02,-7.14%,4522,11653,29.88%,0.9454545454545455
BAC,28.0,0.5,0.5,0.52,-0.02,-3.85%,1852,6853,27.74%,1.7857142857142856
BAC,28.5,0.81,0.84,0.95,0.04,+5.19%,87,927,33.79%,2.8421052631578947
BAC,29.0,1.35,1.28,1.37,0.13,+10.66%,925,3498,31.25%,4.655172413793104
BAC,29.5,1.78,1.78,1.93,0.06,+3.49%,16,862,51.95%,6.033898305084746
BAC,30.0,2.32,2.28,2.43,0.05,+2.20%,112,1580,61.33%,7.7333333333333325
BAC,30.5,2.65,2.77,2.94,0.0,-,2,24,71.88%,8.688524590163935
BAC,31.0,3.25,3.25,3.4,0.0,-,3,61,71.09%,10.483870967741936
BAC,31.5,3.74,3.7,3.95,0.55,+17.24%,2,19,90.63%,11.873015873015873
BAC,32.0,4.45,4.25,4.45,0.0,-,4,4,64.06%,13.90625
BAC,33.0,3.8,5.25,5.45,0.0,-,10,0,75.00%,11.515151515151514
BAC,33.5,4.55,5.75,5.95,0.0,-,-,0,81.25%,13.582089552238804
BAC,34.0,4.18,6.25,6.45,0.0,-,1,0,85.94%,12.294117647058822
BAC,35.0,4.75,7.25,7.45,0.0,-,25,0,96.88%,13.571428571428571
BAC,35.5,7.25,7.75,7.95,0.0,-,1,0,100.00%,20.422535211267608
BAC,36.0,6.7,8.25,8.45,0.0,-,1,0,106.25%,18.61111111111111
BAC,37.0,9.2,9.25,9.45,0.0,-,20,0,115.63%,24.864864864864863
BAC,38.0,10.12,10.25,10.45,0.0,-,1,1,125.00%,26.631578947368418
BAC,39.0,11.2,11.25,11.45,0.0,-,14,0,134.38%,28.717948717948715
IBM,80.0,0.01,0.0,0.01,0.0,-,2,23,131.25%,0.0125
IBM,95.0,0.05,0.0,0.14,0.0,-,-,1,108.59%,0.05263157894736842
IBM,100.0,0.01,0.0,0.03,0.0,-,2,6,71.88%,0.01
IBM,105.0,0.02,0.0,0.03,0.01,+100.00%,20,45,55.47%,0.01904761904761905
IBM,108.0,0.02,0.0,0.03,0.0,-,40,10,50.00%,0.018518518518518517
IBM,110.0,0.01,0.0,0.01,0.0,-,1,71,37.50%,0.009090909090909092
IBM,112.0,0.01,0.01,0.02,-0.02,-66.67%,2,20,33.99%,0.008928571428571428
IBM,113.0,0.02,0.02,0.03,0.0,-,21,41,32.62%,0.017699115044247787
IBM,114.0,0.02,0.03,0.04,-0.02,-50.00%,5,13,30.47%,0.01754385964912281
IBM,115.0,0.03,0.04,0.06,-0.01,-25.00%,25,531,28.81%,0.02608695652173913
IBM,116.0,0.07,0.06,0.08,0.02,+40.00%,19,117,26.37%,0.0603448275862069
IBM,117.0,0.08,0.09,0.1,-0.02,-20.00%,144,263,23.44%,0.06837606837606838
IBM,118.0,0.16,0.14,0.17,0.01,+6.67%,170,286,21.97%,0.13559322033898305
IBM,119.0,0.26,0.24,0.28,0.03,+13.04%,249,352,20.31%,0.2184873949579832
IBM,120.0,0.45,0.42,0.48,0.05,+12.50%,311,678,18.92%,0.37500000000000006
IBM,121.0,0.77,0.75,0.8,0.12,+18.46%,1776,723,17.43%,0.6363636363636364
IBM,122.0,1.26,1.26,1.34,0.16,+14.55%,191,768,16.99%,1.0327868852459017
IBM,123.0,1.9,1.96,2.07,0.14,+7.95%,96,818,16.94%,1.5447154471544715
IBM,124.0,2.9,2.81,2.97,0.45,+18.37%,85,745,18.65%,2.338709677419355
IBM,125.0,3.8,3.75,4.0,0.45,+13.43%,63,403,24.41%,3.04
IBM,126.0,4.95,4.65,5.0,0.75,+17.86%,1,295,28.81%,3.9285714285714284
IBM,127.0,5.8,5.7,6.1,0.0,-,2,262,37.31%,4.566929133858268
IBM,128.0,6.89,6.7,7.05,0.0,-,114,120,39.45%,5.3828125
IBM,129.0,7.8,7.6,8.05,-0.13,-1.64%,1,17,43.46%,6.046511627906977
IBM,130.0,8.92,8.7,9.05,0.39,+4.57%,3,176,47.46%,6.861538461538462
IBM,131.0,9.55,9.55,10.1,3.55,+59.17%,1,5,53.91%,7.290076335877862
IBM,132.0,10.63,10.55,11.1,-0.31,-2.83%,1,24,57.72%,8.053030303030303
IBM,133.0,12.17,11.7,11.95,3.84,+46.10%,4,244,51.76%,9.150375939849624
IBM,134.0,11.1,12.55,13.05,0.0,-,17,17,62.31%,8.283582089552239
IBM,135.0,13.5,13.55,14.1,1.4,+11.57%,1,32,68.85%,10.0
IBM,136.0,15.57,14.55,15.1,0.0,-,1,1,72.36%,11.448529411764707
IBM,140.0,15.08,18.6,19.1,0.0,-,1,1,57.03%,10.771428571428572
IBM,145.0,23.58,23.55,24.1,0.83,+3.65%,2,2,101.95%,16.26206896551724
IBM,146.0,25.6,24.55,25.05,0.0,-,1,1,100.98%,17.534246575342465
IP,30.0,0.1,0.0,0.05,0.0,-,10,17,45.31%,0.33333333333333337
IP,31.0,0.09,0.0,0.1,0.0,-,6,34,34.77%,0.29032258064516125
IP,32.0,0.3,0.25,0.35,0.1,+50.00%,11,64,30.47%,0.9375
IP,32.5,0.45,0.5,0.65,0.0,-,1,31,32.23%,1.3846153846153846
IP,33.0,0.7,0.85,1.05,0.0,-,3,41,35.94%,2.121212121212121
IP,34.0,2.08,1.7,2.1,0.0,-,47,23,61.52%,6.11764705882353
IP,35.0,1.57,2.7,3.1,0.0,-,2,6,79.69%,4.485714285714286
IP,36.0,4.0,3.5,4.4,0.0,-,6,8,71.48%,11.11111111111111
IP,37.0,3.5,4.6,5.3,0.0,-,4,0,84.38%,9.45945945945946
IP,39.0,4.25,6.6,7.3,0.0,-,2,0,107.81%,10.897435897435898
KHC,30.0,0.01,0.0,0.02,0.0,-,-,25,118.75%,0.03333333333333333
KHC,31.0,0.01,0.0,0.17,0.0,-,1,11,149.22%,0.03225806451612903
KHC,32.0,0.03,0.0,0.52,0.0,-,214,57,171.88%,0.09375
KHC,33.0,0.02,0.0,0.52,0.0,-,5,83,155.08%,0.06060606060606061
KHC,34.0,0.06,0.0,0.06,0.0,-,400,30,88.28%,0.1764705882352941
KHC,34.5,0.03,0.0,0.52,0.0,-,15,15,130.08%,0.08695652173913043
KHC,35.0,0.04,0.0,0.02,0.0,-,67,93,65.63%,0.1142857142857143
KHC,35.5,0.05,0.0,0.17,0.0,-,200,20,85.94%,0.14084507042253522
KHC,36.0,0.02,0.0,0.18,0.0,-,1,71,80.08%,0.05555555555555555
KHC,36.5,0.07,0.0,0.17,0.0,-,5,5,72.27%,0.19178082191780824
KHC,37.0,0.02,0.0,0.16,0.0,-,1,26,64.45%,0.05405405405405406
KHC,37.5,0.11,0.0,0.03,0.0,-,8,18,46.88%,0.29333333333333333
KHC,38.0,0.01,0.0,0.01,-0.01,-50.00%,1,122,33.59%,0.02631578947368421
KHC,38.5,0.02,0.0,0.04,0.0,-,2,33,37.11%,0.05194805194805195
KHC,39.0,0.01,0.0,0.01,0.0,-,548,173,23.44%,0.02564102564102564
KHC,39.5,0.01,0.01,0.04,-0.08,-88.89%,1,393,24.02%,0.025316455696202535
KHC,40.0,0.05,0.03,0.07,0.01,+25.00%,13,77,20.51%,0.125
KHC,40.5,0.11,0.09,0.12,0.04,+57.14%,47,279,15.82%,0.2716049382716049
KHC,41.0,0.32,0.28,0.32,0.1,+45.45%,56,132,14.94%,0.7804878048780488
KHC,41.5,0.68,0.62,0.72,0.18,+36.00%,9,64,18.56%,1.6385542168674698
KHC,42.0,1.22,1.08,1.26,0.22,+22.00%,7,10,29.98%,2.9047619047619047
KHC,42.5,1.16,1.47,1.88,0.0,-,2,1,47.66%,2.7294117647058824
KHC,43.5,3.96,1.77,2.87,0.0,-,1,1,62.31%,9.10344827586207
LEN,89.0,0.04,0.0,0.1,0.0,-,1,1,107.03%,0.0449438202247191
LEN,90.0,0.35,0.0,0.1,0.0,-,1,3,103.13%,0.3888888888888889
LEN,91.0,0.05,0.0,0.1,0.0,-,12,25,98.83%,0.054945054945054944
LEN,93.0,0.1,0.0,0.05,0.0,-,20,20,82.81%,0.10752688172043011
LEN,95.0,0.1,0.0,0.1,0.0,-,10,33,82.42%,0.10526315789473684
LEN,96.0,0.23,0.0,0.1,0.0,-,1,2,78.13%,0.23958333333333337
LEN,98.0,0.05,0.0,0.1,-0.12,-70.59%,10,6,70.31%,0.05102040816326531
LEN,99.0,1.45,0.0,0.1,0.0,-,-,2,66.02%,1.4646464646464645
LEN,100.0,0.1,0.0,0.1,0.0,-,6,17,62.11%,0.1
LEN,101.0,0.11,0.0,0.15,0.0,-,2,5,62.11%,0.10891089108910892
LEN,102.0,0.15,0.0,0.15,0.0,-,4,11,57.81%,0.14705882352941177
LEN,103.0,0.3,0.0,0.15,0.0,-,9,10,53.71%,0.2912621359223301
LEN,104.0,0.1,0.0,0.2,0.0,-,1,30,52.34%,0.09615384615384616
LEN,105.0,0.21,0.0,0.1,0.0,-,1,8,47.85%,0.2
LEN,106.0,0.3,0.0,0.15,0.0,-,1,2,47.46%,0.2830188679245283
LEN,107.0,0.1,0.0,0.25,0.0,-,6,34,48.54%,0.09345794392523366
LEN,108.0,0.1,0.0,0.15,0.0,-,1,24,38.09%,0.0925925925925926
LEN,109.0,0.1,0.0,0.15,-0.1,-50.00%,3,107,33.30%,0.09174311926605505
LEN,110.0,0.12,0.05,0.2,-0.19,-61.29%,9,115,30.76%,0.1090909090909091
LEN,111.0,0.25,0.2,0.3,-0.05,-16.67%,11,141,29.20%,0.22522522522522523
LEN,112.0,0.4,0.35,0.45,-0.1,-20.00%,25,61,27.59%,0.35714285714285715
LEN,113.0,0.5,0.55,0.7,-0.22,-30.56%,21,104,26.66%,0.4424778761061947
LEN,114.0,0.95,0.9,1.05,-0.1,-9.52%,21,130,25.64%,0.8333333333333334
LEN,115.0,1.1,1.4,1.55,-0.31,-21.99%,11,54,25.12%,0.9565217391304349
LEN,116.0,1.65,2.0,2.2,-0.55,-25.00%,17,47,25.10%,1.4224137931034482
LEN,117.0,2.75,2.65,3.1,0.0,-,3,3,29.00%,2.3504273504273505
LEN,119.0,6.37,4.4,4.8,0.0,-,-,1,29.10%,5.352941176470588
LRCX,270.0,0.03,0.0,0.06,0.0,-,-,5,206.25%,0.01111111111111111
LRCX,280.0,0.05,0.0,0.03,0.0,-,-,8,184.38%,0.017857142857142856
LRCX,340.0,0.08,0.0,0.24,0.0,-,-,1,156.64%,0.023529411764705882
LRCX,360.0,0.01,0.0,0.03,0.0,-,10,12,111.72%,0.002777777777777778
LRCX,370.0,0.01,0.0,0.01,0.0,-,35,196,95.31%,0.002702702702702703
LRCX,380.0,1.25,0.0,0.75,0.0,-,-,2,136.91%,0.3289473684210526
LRCX,390.0,0.13,0.0,0.14,0.0,-,1,112,102.73%,0.03333333333333333
LRCX,400.0,0.01,0.0,0.16,0.0,-,54,43,95.51%,0.0025
LRCX,410.0,0.03,0.0,0.15,-0.02,-40.00%,15,37,86.52%,0.007317073170731707
LRCX,415.0,0.01,0.0,0.12,0.0,-,6,23,80.47%,0.0024096385542168672
LRCX,420.0,0.1,0.0,0.13,0.0,-,2,30,76.95%,0.023809523809523808
LRCX,425.0,0.21,0.0,0.13,0.0,-,5,8,73.05%,0.04941176470588235
LRCX,430.0,0.05,0.0,0.03,0.0,-,1,8,59.38%,0.011627906976744186
LRCX,435.0,0.05,0.0,0.14,-0.5,-90.91%,5,12,65.63%,0.01149425287356322
LRCX,440.0,0.01,0.01,0.09,0.0,-,7,116,59.38%,0.002272727272727273
LRCX,445.0,0.1,0.02,0.14,0.0,-,5,27,58.79%,0.02247191011235955
LRCX,450.0,0.1,0.05,0.1,0.0,-,15,70,54.30%,0.022222222222222223
LRCX,455.0,0.09,0.03,0.78,0.04,+80.00%,6,24,64.50%,0.01978021978021978
LRCX,460.0,0.08,0.08,0.1,0.0,-,12,129,48.24%,0.017391304347826087
LRCX,465.0,0.13,0.04,0.14,0.05,+62.50%,25,82,46.39%,0.027956989247311825
LRCX,470.0,0.13,0.07,0.32,0.0,-,5,87,48.24%,0.027659574468085108
LRCX,475.0,0.18,0.14,0.3,0.03,+20.00%,13,60,43.12%,0.03789473684210526
LRCX,480.0,0.25,0.22,0.41,0.04,+19.05%,30,149,40.89%,0.052083333333333336
LRCX,482.5,0.44,0.29,0.48,0.21,+91.30%,21,61,39.75%,0.09119170984455958
LRCX,485.0,0.42,0.36,0.55,0.11,+35.48%,21,69,38.40%,0.0865979381443299
LRCX,487.5,0.54,0.47,0.72,0.22,+68.75%,28,32,38.21%,0.11076923076923079
LRCX,490.0,0.74,0.61,0.89,0.36,+94.74%,28,185,37.53%,0.1510204081632653
LRCX,492.5,1.1,0.8,1.09,0.38,+52.78%,11,93,36.77%,0.2233502538071066
LRCX,495.0,1.17,1.03,1.35,0.51,+77.27%,13,77,36.16%,0.23636363636363633
LRCX,497.5,1.3,1.28,1.72,0.48,+58.54%,33,35,35.96%,0.26130653266331655
LRCX,500.0,1.68,1.71,2.11,0.64,+61.54%,234,258,35.38%,0.33599999999999997
LRCX,502.5,2.16,2.16,2.62,0.97,+81.51%,17,39,35.03%,0.4298507462686567
LRCX,505.0,2.68,2.72,3.25,1.3,+94.20%,82,99,34.84%,0.5306930693069307
LRCX,507.5,3.57,3.35,3.85,1.57,+78.50%,67,30,33.92%,0.7034482758620689
LRCX,510.0,4.3,4.1,4.65,1.9,+79.17%,114,98,33.47%,0.8431372549019607
LRCX,512.5,5.0,5.0,5.6,2.18,+77.30%,143,81,33.14%,0.975609756097561
LRCX,515.0,6.0,6.05,6.75,2.2,+57.89%,92,83,33.12%,1.1650485436893203
LRCX,517.5,7.4,7.3,7.9,3.6,+94.74%,40,55,32.45%,1.4299516908212562
LRCX,520.0,8.6,8.55,9.4,3.9,+82.98%,67,81,32.76%,1.6538461538461537
LRCX,522.5,10.4,10.0,11.1,4.9,+89.09%,20,181,33.41%,1.9904306220095696
LRCX,525.0,11.15,11.45,12.65,4.15,+59.29%,5,88,32.68%,2.123809523809524
LRCX,527.5,12.9,12.95,14.5,4.65,+56.36%,9,63,32.86%,2.445497630331754
LRCX,530.0,16.0,15.1,16.85,7.45,+87.13%,14,59,35.46%,3.018867924528302
LRCX,532.5,13.1,16.75,19.35,0.0,-,3,4,38.78%,2.460093896713615
LRCX,535.0,21.85,19.05,20.75,10.25,+88.36%,2,11,34.35%,4.084112149532711
LRCX,540.0,24.5,22.4,25.0,7.42,+43.44%,3,13,32.89%,4.537037037037037
LRCX,545.0,36.05,26.9,30.95,0.0,-,1,1,47.02%,6.614678899082568
LRCX,550.0,22.0,31.8,35.45,0.0,-,1,11,47.45%,4.0
LRCX,555.0,38.0,36.85,40.4,5.7,+17.65%,5,4,51.69%,6.846846846846846
LRCX,560.0,42.27,41.7,45.25,10.52,+33.13%,20,14,54.47%,7.548214285714286
LRCX,565.0,35.85,46.55,50.55,0.0,-,1,1,62.57%,6.345132743362831
LRCX,570.0,87.0,51.35,55.35,0.0,-,-,1,64.50%,15.263157894736842
MCD,190.0,0.02,0.0,0.03,0.0,-,1,3,143.75%,0.010526315789473684
MCD,195.0,0.03,0.0,0.03,0.0,-,-,8,135.94%,0.015384615384615385
MCD,200.0,0.04,0.0,0.03,0.0,-,-,36,128.13%,0.02
MCD,205.0,0.02,0.0,0.03,0.0,-,5,8,120.31%,0.00975609756097561
MCD,210.0,0.04,0.0,0.03,0.0,-,1,2,112.50%,0.01904761904761905
MCD,225.0,0.09,0.0,0.03,0.0,-,-,1,92.19%,0.039999999999999994
MCD,235.0,0.02,0.0,0.03,0.0,-,50,70,78.91%,0.00851063829787234
MCD,240.0,0.1,0.0,0.11,0.0,-,1,4,82.81%,0.04166666666666667
MCD,245.0,0.1,0.0,0.03,0.0,-,4,4,65.63%,0.04081632653061225
MCD,250.0,0.77,0.02,0.16,0.0,-,-,19,72.85%,0.30800000000000005
MCD,255.0,0.01,0.0,0.03,-0.01,-50.00%,10,49,53.13%,0.00392156862745098
MCD,260.0,0.01,0.0,0.02,0.0,-,4,129,48.44%,0.0038461538461538464
MCD,262.5,0.02,0.0,0.02,0.0,-,7,27,45.31%,0.00761904761904762
MCD,265.0,0.05,0.0,0.02,0.0,-,1,51,42.19%,0.01886792452830189
MCD,267.5,0.04,0.0,0.03,0.0,-,5,28,40.63%,0.014953271028037384
MCD,270.0,0.04,0.0,0.01,0.0,-,9,67,33.20%,0.014814814814814815
MCD,272.5,0.01,0.01,0.03,-0.04,-80.00%,3,811,34.18%,0.003669724770642202
MCD,275.0,0.03,0.0,0.03,-0.03,-50.00%,7,285,30.86%,0.01090909090909091
MCD,277.5,0.03,0.02,0.03,-0.04,-57.14%,12,203,27.74%,0.010810810810810811
MCD,280.0,0.03,0.02,0.03,-0.04,-57.14%,107,299,24.41%,0.010714285714285714
MCD,282.5,0.03,0.03,0.07,-0.07,-70.00%,41,104,23.93%,0.010619469026548672
MCD,285.0,0.06,0.05,0.06,-0.07,-53.85%,87,502,19.73%,0.021052631578947368
MCD,287.5,0.09,0.08,0.16,-0.11,-55.00%,23,138,19.48%,0.03130434782608695
MCD,290.0,0.21,0.16,0.22,-0.07,-25.00%,214,437,16.43%,0.07241379310344827
MCD,292.5,0.37,0.35,0.44,-0.17,-31.48%,165,269,14.70%,0.1264957264957265
MCD,295.0,0.82,0.81,0.91,-0.14,-14.58%,452,726,12.99%,0.2779661016949152
MCD,297.5,1.75,1.71,1.89,-0.16,-8.38%,354,641,11.54%,0.5882352941176471
MCD,300.0,3.3,3.3,3.6,-0.28,-7.82%,210,520,10.45%,1.0999999999999999
MCD,302.5,6.6,5.6,6.05,0.0,-,31,56,14.43%,2.1818181818181817
MCD,305.0,8.39,8.0,8.55,-1.86,-18.15%,2,57,18.75%,2.750819672131148
MCD,307.5,12.65,10.2,11.3,0.0,-,2,0,27.78%,4.113821138211382
